iter	Passed	Remaining
705	878	365
706	879	364
707	880	363
708	881	361
709	882	360
710	883	359
711	884	357
712	885	356
713	886	355
714	887	353
715	887	352
716	888	350
717	889	349
718	890	347
719	891	346
720	892	345
721	893	344
722	894	342
723	895	341
724	896	339
725	897	338
726	898	337
727	898	335
728	899	334
729	900	333
730	901	331
731	902	330
732	902	328
733	903	327
734	904	326
735	905	324
736	906	323
737	908	322
738	909	321
739	909	319
740	910	318
741	911	316
742	912	315
743	913	314
744	914	312
745	914	311
746	915	310
747	916	308
748	917	307
749	918	306
750	918	304
751	919	303
752	920	301
753	921	300
754	923	299
755	924	298
756	924	296
757	925	295
758	926	294
759	927	292
760	928	291
761	929	290
762	929	288
763	930	287
764	931	286
765	932	284
766	933	283
767	934	282
768	934	280
769	935	279
770	936	278
771	938	277
772	938	275
773	939	274
774	940	273
775	941	271
776	942	270
777	943	269
778	943	267
779	944	266
780	945	265
781	946	263
782	947	262
783	948	261
784	948	259
785	949	258
786	950	257
787	952	256
788	953	254
789	954	253
790	954	252
791	955	251
792	956	249
793	957	248
794	958	247
795	958	245
796	959	244
797	960	243
798	961	241
799	962	240
800	962	239
801	963	237
802	964	236
803	965	235
804	967	234
805	968	233
806	969	231
807	969	230
808	970	229
809	971	227
810	972	226
811	973	225
812	973	224
813	974	222
814	975	221
815	976	220
816	977	218
817	977	217
818	978	216
819	979	215
820	980	213
821	982	212
822	983	211
823	984	210
824	985	209
825	986	207
826	987	206
827	988	205
828	989	204
829	990	202
830	991	201
831	992	200
832	992	199
833	993	197
834	994	196
835	995	195
836	996	194
837	997	192
838	998	191
839	999	190
840	1000	189
841	1001	187
842	1001	186
843	1002	185
844	1003	184
845	1004	182
846	1005	181
847	1005	180
848	1006	179
849	1007	177
850	1008	176
851	1009	175
852	1010	174
853	1011	172
854	1012	171
855	1013	170
856	1014	169
857	1015	168
858	1016	166
859	1016	165
860	1017	164
861	1018	163
862	1019	161
863	1020	160
864	1021	159
865	1021	158
866	1022	156
867	1023	155
868	1024	154
869	1025	153
870	1026	152
871	1027	150
872	1028	149
873	1029	148
874	1029	147
875	1030	145
876	1031	144
877	1032	143
878	1033	142
879	1034	141
880	1034	139
881	1035	138
882	1036	137
883	1037	136
884	1038	134
885	1038	133
886	1039	132
887	1041	131
888	1042	130
889	1043	128
890	1044	127
891	1044	126
892	1045	125
893	1046	124
894	1047	122
895	1048	121
896	1048	120
897	1049	119
898	1050	118
899	1051	116
900	1052	115
901	1053	114
902	1053	113
903	1055	112
904	1056	110
905	1057	109
906	1058	108
907	1059	107
908	1060	106
909	1060	104
910	1061	103
911	1062	102
912	1063	101
913	1064	100
914	1065	98
915	1065	97
916	1066	96
917	1067	95
918	1068	94
919	1069	92
920	1070	91
921	1071	90
922	1072	89
923	1073	88
924	1074	87
925	1075	85
926	1076	84
927	1077	83
928	1078	82
929	1079	81
930	1080	80
931	1080	78
932	1081	77
933	1082	76
934	1083	75
935	1085	74
936	1086	73
937	1086	71
938	1087	70
939	1088	69
940	1089	68
941	1090	67
942	1091	65
943	1091	64
944	1092	63
945	1093	62
946	1094	61
947	1095	60
948	1096	58
949	1096	57
950	1097	56
951	1098	55
952	1100	54
953	1101	53
954	1101	51
955	1102	50
956	1103	49
957	1104	48
958	1105	47
959	1106	46
960	1106	44
961	1107	43
962	1108	42
963	1109	41
964	1110	40
965	1111	39
966	1111	37
967	1112	36
968	1113	35
969	1115	34
970	1116	33
971	1116	32
972	1117	31
973	1118	29
974	1119	28
975	1120	27
976	1121	26
977	1121	25
978	1122	24
979	1123	22
980	1124	21
981	1125	20
982	1126	19
983	1126	18
984	1127	17
985	1128	16
986	1130	14
987	1131	13
988	1131	12
989	1132	11
990	1133	10
991	1134	9
992	1135	8
993	1136	6
994	1137	5
995	1137	4
996	1138	3
997	1139	2
998	1140	1
999	1141	0
